"","id","datetime","user","text","date","hour"
"3561","360995196638478336",2013-07-27 01:28:00,"metagenomics","#metagenome Microbial Who-Done-It For Biofuels - Lab Manager Magazine http://ow.ly/2yG6sp",2013-07-27,1
"3562","361172088075190272",2013-07-27 13:11:00,"SamGirv","Metagenomics is my word if the week! Or at least until this assignment is submitted.",2013-07-27,13
"3563","361277486367121408",2013-07-27 20:10:00,"bffo","RT @wlhsiao: Check out our project: Applied Metagenomics of the Watershed Microbiome #watersheddiscov",2013-07-27,20
"3564","361282664789065728",2013-07-27 20:31:00,"metagenomics","#microbiome My life as a guinea pig for science - The Guardian http://ow.ly/2yH9ew",2013-07-27,20
"3565","361417570227720192",2013-07-28 05:27:00,"metagenomics","#microecology Ocean Acidification Causing Tooth Decay in Marine Organisms - http://iDigitalTimes.co.uk http://ow.ly/2yHvf6",2013-07-28,5
"3566","361451921615233024",2013-07-28 07:43:00,"CAPG001","RT @GENbio: Metagenomics May Hold Key to Novel Antibiotic Discovery http://bit.ly/13ewgzh",2013-07-28,7
"3567","361484659139420160",2013-07-28 09:53:00,"manriquedvd","RT @EuNutricion: “@metagenomics: #microbiota Probiotics May Help Solve Your Memory Problems - Huffington Post Canada http://ow.ly/2yx3JP”",2013-07-28,9
"3568","361517438736666624",2013-07-28 12:04:00,"Metabiomics","Illuminating Biology's 'Dark Matter' #metagenomics - http://bit.ly/1bVreiI",2013-07-28,12
"3569","361536110905663488",2013-07-28 13:18:00,"StefanieButland","RT @wlhsiao: Check out our project: Applied Metagenomics of the Watershed Microbiome #watersheddiscov",2013-07-28,13
"3570","361555081084145664",2013-07-28 14:33:00,"metagenomics","#IBD Bowel diseases breakthrough claimed - Irish Independent http://ow.ly/2yI0u7",2013-07-28,14
"3571","361569173261926400",2013-07-28 15:29:00,"metagenomics","#IBD Irish scientists claim breakthrough in bowel disease - Irish Independent http://ow.ly/2yI482",2013-07-28,15
"3572","361590642884878336",2013-07-28 16:55:00,"metagenomics","[PubMed] Tracking the primary sources of fecal pollution in a tropical watershed in a one-year study. http://1.usa.gov/1byQ0G9",2013-07-28,16
"3573","361590646533918720",2013-07-28 16:55:00,"metagenomics","[PubMed] Unique vaginal microbiota that includes an unknown Mycoplasma-like organism is associated with Tricho... http://1.usa.gov/14pHEqv",2013-07-28,16
"3574","361590647569907712",2013-07-28 16:55:00,"metagenomics","[PubMed] Is it who you are or what you do that is important in the human gut? http://1.usa.gov/14pHEqD",2013-07-28,16
"3575","361644584553558016",2013-07-28 20:29:00,"metagenomics","#IBD Reseasrch points to new treatments for inflammatory bowel diseases - Irish Times http://ow.ly/2yImzX",2013-07-28,20
"3576","361644584553558016",2013-07-28 20:29:00,"metagenomics","#IBD Reseasrch points to new treatments for inflammatory bowel diseases - Irish Times http://ow.ly/2yImzX",2013-07-28,20
"3577","361674820682919936",2013-07-28 22:29:00,"metagenomics","#IBD Researchers make breakthrough in fight against Crohn's disease - Irish Examiner http://ow.ly/2yIpT0",2013-07-28,22
"3578","361674820682919936",2013-07-28 22:29:00,"metagenomics","#IBD Researchers make breakthrough in fight against Crohn's disease - Irish Examiner http://ow.ly/2yIpT0",2013-07-28,22
"3579","361676858246438912",2013-07-28 22:37:00,"kztakemoto","""Human intestinal metagenomics: state of the art and future"" http://www.sciencedirect.com/science/article/pii/S1369527413000805#",2013-07-28,22
"3580","361676858246438912",2013-07-28 22:37:00,"kztakemoto","""Human intestinal metagenomics: state of the art and future"" http://www.sciencedirect.com/science/article/pii/S1369527413000805#",2013-07-28,22
"3581","361766015039836160",2013-07-29 04:31:00,"metagenomics","#metagenome Studying thermophillic microbes for better biofuel production - EcoSeed http://ow.ly/2yIJMV",2013-07-29,4
"3582","361766015039836160",2013-07-29 04:31:00,"metagenomics","#metagenome Studying thermophillic microbes for better biofuel production - EcoSeed http://ow.ly/2yIJMV",2013-07-29,4
"3583","361766015304089600",2013-07-29 04:31:00,"metagenomics","#IBD Research points to new treatments for inflammatory bowel diseases - Irish Times http://ow.ly/2yIJMW",2013-07-29,4
"3584","361766015304089600",2013-07-29 04:31:00,"metagenomics","#IBD Research points to new treatments for inflammatory bowel diseases - Irish Times http://ow.ly/2yIJMW",2013-07-29,4
"3585","361797094333358080",2013-07-29 06:35:00,"metagenomics","#microecology Biomimicry: Designing Startups with Nature's Help - Triple Pundit http://ow.ly/2yISch",2013-07-29,6
"3586","361797094333358080",2013-07-29 06:35:00,"metagenomics","#microecology Biomimicry: Designing Startups with Nature's Help - Triple Pundit http://ow.ly/2yISch",2013-07-29,6
"3587","361826435574411264",2013-07-29 08:31:00,"Karelman","Bioinformatics is out! http://paper.li/Karelman/1353414629 ▸ Top stories today via @metagenomics @BioMickWatson",2013-07-29,8
"3588","361826435574411264",2013-07-29 08:31:00,"Karelman","Bioinformatics is out! http://paper.li/Karelman/1353414629 ▸ Top stories today via @metagenomics @BioMickWatson",2013-07-29,8
"3589","361830106152439808",2013-07-29 08:46:00,"EvelienAdri","Moenie dink nie. Playing with my new assembly toy #bioinformatics #metagenomics #geek http://t.co/M5hVe4NlP0",2013-07-29,8
"3590","361830106152439808",2013-07-29 08:46:00,"EvelienAdri","Moenie dink nie. Playing with my new assembly toy #bioinformatics #metagenomics #geek http://t.co/M5hVe4NlP0",2013-07-29,8
"3591","361837675038248960",2013-07-29 09:16:00,"TBAlliance","Scientists have recovered #tuberculosis genomes from a 200-year-old mummy! What this could teach us about modern #TB: http://bit.ly/16V0JCZ",2013-07-29,9
"3592","361837675038248960",2013-07-29 09:16:00,"TBAlliance","Scientists have recovered #tuberculosis genomes from a 200-year-old mummy! What this could teach us about modern #TB: http://bit.ly/16V0JCZ",2013-07-29,9
"3593","361842492271902720",2013-07-29 09:35:00,"metagenomics","#microbiome Condoms May Boost Beneficial Vaginal Bacteria - Yahoo! News http://ow.ly/2yJ8Jp",2013-07-29,9
"3594","361842492271902720",2013-07-29 09:35:00,"metagenomics","#microbiome Condoms May Boost Beneficial Vaginal Bacteria - Yahoo! News http://ow.ly/2yJ8Jp",2013-07-29,9
"3595","361842492364161024",2013-07-29 09:35:00,"metagenomics","#microecology Outgrowing the Traditional Grass Lawn - Scientific American (blog) http://ow.ly/2yJ8Jq",2013-07-29,9
"3596","361842492364161024",2013-07-29 09:35:00,"metagenomics","#microecology Outgrowing the Traditional Grass Lawn - Scientific American (blog) http://ow.ly/2yJ8Jq",2013-07-29,9
"3597","361842662699053056",2013-07-29 09:36:00,"metagenomics","#IBD Maynooth researchers claim Crohn's disease breakthrough - Evening Echo Cork http://ow.ly/2yJ8vq",2013-07-29,9
"3598","361842662699053056",2013-07-29 09:36:00,"metagenomics","#IBD Maynooth researchers claim Crohn's disease breakthrough - Evening Echo Cork http://ow.ly/2yJ8vq",2013-07-29,9
"3599","361842662862622720",2013-07-29 09:36:00,"metagenomics","#metagenome The PAMPA datasets: a metagenomic survey of microbial communities in ... - 7thSpace Interactive (press... http://ow.ly/2yJ8vp",2013-07-29,9
"3600","361842662862622720",2013-07-29 09:36:00,"metagenomics","#metagenome The PAMPA datasets: a metagenomic survey of microbial communities in ... - 7thSpace Interactive (press... http://ow.ly/2yJ8vp",2013-07-29,9
"3601","361858978189295616",2013-07-29 10:41:00,"metagenomics","#microecology Newfoundland's Mistaken Point is a snapshot of life 565 million years ago - Victoria Times Colonist http://ow.ly/2yJdPD",2013-07-29,10
"3602","361858978189295616",2013-07-29 10:41:00,"metagenomics","#microecology Newfoundland's Mistaken Point is a snapshot of life 565 million years ago - Victoria Times Colonist http://ow.ly/2yJdPD",2013-07-29,10
